YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2021,3,23,6.43,6.43,23.92,41.31,93.14,5.3,171.19,14.68,289.4448056,224.604
2021,3,24,6.34,6.19,20.77,35.38,92.79,6.58,278.75,14.05,361.8348409,214.965
2021,3,25,6.51,6.4,14.72,38.19,93.39,3.67,232.69,14.18,207.3874564,216.954
2021,3,26,6.7,6.53,14.69,36.19,93.49,4.47,223.31,14.38,252.8913589,220.014
2021,3,27,7.18,7.12,11.78,39.56,94.13,4.65,291.69,16.27,267.5810087,248.931
2021,3,28,7.22,6.82,10.57,31.19,94.38,3.22,80.25,15.74,186.5771035,240.822
2021,3,29,7.15,7.03,12.9,26.38,94.16,3.7,106.31,15.9,212.1478696,243.27
2021,3,30,6.32,6.2,15.55,26.56,93.45,5.61,106.56,13.44,316.3062958,205.632
2021,3,31,7.04,6.67,16.05,37.5,93.25,4.04,276.69,15.23,226.9051589,233.019
2021,4,1,7.31,7,16.67,30.31,93.47,3.43,264.31,16.2,192.6861342,247.86
2021,4,2,7.53,7.18,15.77,31.5,93.62,5.46,306.31,17.12,308.174093,261.936
2021,4,3,7.75,7.62,13.55,41,94.02,3.69,302.44,17.77,210.7809576,271.881
2021,4,4,7.78,7.47,16.7,20.19,94.12,1.21,258.5,17.5,68.43943841,267.75
2021,4,5,7.77,7.65,16.86,19.31,94.15,2.95,133,17.5,166.8175813,267.75
2021,4,6,7.03,6.3,19.37,18.56,93.89,5.73,113,14.05,320.3545151,214.965
2021,4,7,6.71,5.44,22.64,21.56,93.53,4.39,174.75,11.87,241.7933878,181.611
2021,4,8,6.93,6.79,23.76,20.5,93.19,4.26,232.94,15.29,232.8984182,233.937
2021,4,9,7.63,7.56,21.88,21.44,93.05,5.1,301.62,17.62,280.1772236,269.586
2021,4,10,7.42,7.19,17.5,34.81,93.17,5.76,301.5,16.59,321.618265,253.827
2021,4,11,7.95,7.77,13.79,34.25,93.74,4.29,259.31,18.34,244.1201345,280.602
2021,4,12,7.62,7.44,15.92,27.75,93.73,3.4,233.19,17.05,192.0290639,260.865
2021,4,13,7.77,7.7,17.36,23.56,93.76,3.05,221.56,17.95,171.4623631,274.635
2021,4,14,7.58,7.41,17.16,21.56,93.91,3.42,78,16.95,192.7029681,259.335
2021,4,15,7.76,7.67,19.26,19.75,93.87,3.81,109.75,17.88,213.0453335,273.564
2021,4,16,7.46,7.32,22.45,17.69,93.7,6.3,120.94,17.14,347.8469212,262.242
