YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,PS,WD10M,WS10M,UVA,Wind Energy,Solar Energy
2020,6,13,7.76,7.86,33.01,45.44,98.85,301.75,4.34,18.94,244.0789954,289.782
2020,6,14,7.76,8.01,34.37,35.44,98.95,194.75,3.05,18.88,170.9443397,288.864
2020,6,15,7.57,7.8,35.37,34.44,99.03,227.19,3.66,18.31,204.6336237,280.143
2020,6,16,7.78,7.88,33.94,36.06,98.99,280.44,6.31,18.98,354.2969896,290.394
2020,6,17,7.82,7.89,33.58,35.94,98.99,277.38,6.47,19.01,363.7071204,290.853
2020,6,18,7.97,8.05,33.88,36.69,98.87,278.44,5.73,19.49,321.4036442,298.197
2020,6,19,7.75,7.83,32.93,44.19,98.99,251.94,7.04,18.55,396.5897485,283.815
2020,6,20,8.04,8.12,31.18,44.69,99.11,288,5.61,19.51,318.2350602,298.503
2020,6,21,8.2,8.27,30.44,49.38,99.12,317.69,4.88,19.88,277.5275529,304.164
2020,6,22,7.91,7.98,34.39,39.81,98.94,196.25,4.29,19.47,240.4030877,297.891
2020,6,23,8.17,8.26,37.15,23.12,98.93,165.56,6.2,19.78,344.3105865,302.634
2020,6,24,7.87,8.02,36.41,29.94,98.97,205.62,6.61,18.94,368.1057869,289.782
2020,6,25,8.23,8.29,35.22,29.19,98.88,220.56,6.17,19.86,344.6148232,303.858
2020,6,26,7.57,7.66,33.38,36.62,98.87,263.12,6.66,18.05,374.1779844,276.165
2020,6,27,7.59,7.72,34.53,33.19,98.83,250.06,5.77,18.41,322.8329055,281.673
2020,6,28,7.36,7.62,34.65,38.69,98.75,272.75,5.6,17.64,312.9456859,269.892
2020,6,29,7.54,7.73,33.49,45.62,98.76,283.25,4.82,18.34,270.4031624,280.602
2020,6,30,7.51,7.68,33.19,44.5,98.72,287.56,6.27,18.12,351.9503753,277.236
2020,7,1,7.6,7.81,33.58,38.88,98.74,261.69,6.27,18.52,351.5740907,283.356
2020,7,2,7.41,7.77,33.12,32.5,98.73,260.44,5.73,17.93,321.7449607,274.329
2020,7,3,7.63,7.79,34.01,30.19,98.81,318.56,5.25,18.34,294.1765138,280.602
2020,7,4,7.77,7.84,33.87,32.69,98.83,236,6.26,18.9,351.0014531,289.17
2020,7,5,7.71,7.81,33.19,41.75,98.58,278.56,6.96,18.52,390.12771,283.356
2020,7,6,7.52,7.79,33.41,37.69,98.69,270.56,4.45,18.43,249.5342283,281.979
2020,7,7,7.33,7.47,33.88,32.25,98.88,262.31,4.03,17.45,226.0711505,266.985
2020,7,8,7.63,7.74,33.69,32,99.06,289.5,4.46,18.45,250.8035396,282.285
2020,7,9,7.83,7.89,33.8,28.56,98.99,212.94,5.86,18.95,329.1802386,289.935
2020,7,10,7.48,7.67,33.83,31.88,98.99,214.75,6.7,18.19,376.3297035,278.307
