YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2022,6,13,7.85,7.76,34.37,10.88,93.5,2.86,60.12,17.38,151.4665492,265.914
2022,6,14,8.28,8.14,34.79,9.94,93.59,3.98,81.56,18.79,210.6972499,287.487
2022,6,15,7.97,7.86,34.41,15.5,93.62,4.08,91.94,17.56,216.3273353,268.668
2022,6,16,7.82,7.73,35.27,14.94,93.65,3.57,76.75,17.32,188.8190978,264.996
2022,6,17,7.86,7.78,35.48,14.5,93.61,4.84,161.62,17.63,255.7065903,269.739
2022,6,18,8.1,8.02,35.22,10.38,93.39,6.22,290.69,17.92,328.1187833,274.176
2022,6,19,8.02,7.93,36.08,7.31,93.38,3.29,194.44,17.35,173.0535848,265.455
2022,6,20,8.08,7.9,37.11,7.81,93.38,4,255.94,17.47,209.7010118,267.291
2022,6,21,8.14,8.01,36.84,8.81,93.16,5.06,121.12,18.42,264.8773152,281.826
2022,6,22,7.8,7.65,37.2,10.12,93.1,2.78,104.88,17.59,145.2630573,269.127
2022,6,23,8.04,7.58,37.4,9.25,93.33,5.05,157.06,17.74,264.3586732,271.422
2022,6,24,7.78,7.68,35.69,19.94,93.58,4.09,120,18.03,215.8665041,275.859
2022,6,25,7.64,7.12,37.51,14.44,93.44,2.38,174.81,16.59,124.6915151,253.827
2022,6,26,7.58,7.48,37.61,10.5,93.37,5.59,156.94,17.04,292.5543143,260.712
2022,6,27,7.15,7.06,34.84,14.56,93.54,5.72,101.5,15.16,302.6002146,231.948
2022,6,28,8.02,7.95,34.5,12.5,93.49,5.42,100,18.22,286.8930186,278.766
2022,6,29,8.06,7.94,34.33,11.12,93.38,5.68,225.75,17.86,300.4676955,273.258
2022,6,30,8.11,8.04,35.49,10.56,93.23,5.77,281.19,18.83,303.5929905,288.099
2022,7,1,8.09,7.99,36.23,11.69,93.19,4.17,323,18.98,218.7890511,290.394
2022,7,2,8.11,8.04,36.17,11.44,93.18,5.03,206.81,19.13,263.9338803,292.689
2022,7,3,8.08,7.97,35.67,12.38,93.09,4.63,197.94,18.64,243.1034129,285.192
2022,7,4,8.18,8.1,34.95,13.69,93.14,5.98,336.69,19.34,314.889495,295.902
2022,7,5,7.58,7.51,35.09,14.38,93.18,5.76,347.44,16.75,303.2973716,256.275
2022,7,6,7.89,7.79,35.05,13.5,93.22,5.66,209.25,17.83,298.1984272,272.799
2022,7,7,7.03,5.67,34.83,12.5,93.36,4.2,164.12,11.92,221.7686087,182.376
2022,7,8,6.97,6.74,36.13,11,93.27,4.99,132.81,14.42,262.1217983,220.626
2022,7,9,7.31,7.04,36.13,12.19,93.07,5.55,126.69,15.59,290.9131236,238.527
2022,7,10,7.34,6.51,35.6,10.19,93,5.62,109.06,14.23,294.8660357,217.719
2022,7,11,6.79,6.24,35.36,12.5,93.21,6.21,21.56,12.6,326.8114889,192.78
2022,7,12,6.64,4.96,32.93,25.81,93.46,6.42,148.06,9.68,341.4587964,148.104
2022,7,13,7.14,6.45,34.44,21.62,93.29,5.31,184.62,13.55,280.5238917,207.315
2022,7,14,7.38,7.16,35.51,12.94,93.12,6.47,335.19,15.9,340.0003384,243.27
2022,7,15,7.19,6.87,36.01,11.06,93.07,6.41,207.31,14.94,336.1219682,228.582
2022,7,16,7.81,7.62,36.1,11,93.14,5.95,223.5,17.8,312.1446848,272.34
2022,7,17,7.45,6.81,36.3,12.94,93.14,4.46,143.81,15.35,233.8261389,234.855
2022,7,18,7.46,7.32,37.53,12,93.22,2.7,85.94,16.43,141.1146229,251.379
2022,7,19,7.46,7.15,37.75,11.25,93.25,5.42,127.06,16.48,283.1651863,252.144
2022,7,20,7.43,7.31,37.37,10.62,93.17,6.32,85.19,16.66,330.3056857,254.898
2022,7,21,7.18,6.95,37.37,9.88,93.13,4.52,190.75,15.18,236.1298621,232.254
2022,7,22,7.3,7.23,37.58,13.19,93.26,4.71,111.44,15.98,246.2326201,244.494
2022,7,23,7.6,7.38,38.56,18.12,93.27,3.22,85.56,17.27,167.8261247,264.231
2022,7,24,7.47,7.22,38.26,15.12,93.08,2.79,147.5,16.72,145.2581392,255.816
2022,7,25,7.13,6.92,38.75,14.62,93.01,4.26,173.31,16.01,221.277024,244.953
2022,7,26,7.09,5.96,36.86,13.38,93.2,4.33,86.31,13.26,226.7464826,202.878
2022,7,27,6.92,5.74,35.23,13.19,93.28,3.55,104.19,12.07,187.0437235,184.671
2022,7,28,7.25,3.74,34.86,16.69,93.44,4.38,76.75,8.52,231.4486099,130.356
2022,7,29,7.61,5.96,32.27,36.12,93.49,3.98,130.75,14.48,212.2087133,221.544
2022,7,30,7.41,6.91,34.19,36.12,93.34,3.31,129.44,16.55,175.1012138,253.215
2022,7,31,6.76,5.27,34.12,44.25,93.25,2.59,132.75,12.53,136.9118054,191.709
2022,8,1,6.74,4.88,33.44,49.5,93.26,2.8,206,11.33,148.3569547,173.349
2022,8,2,6.93,6.41,34.87,37.81,93.27,3.97,183.44,15.18,209.3948616,232.254
2022,8,3,7.14,6.99,36.76,28.81,93.31,3.12,146.19,16.89,163.6287627,258.417
2022,8,4,7.09,6.85,37.67,24.81,93.44,3.17,132.62,16.28,165.9952226,249.084
2022,8,5,6.96,5.65,38.97,21.69,93.29,3.45,121.38,13.02,179.6160093,199.206
2022,8,6,7.19,6.99,39.55,17.88,93.05,3.23,143.19,16.16,167.4185097,247.248
2022,8,7,7.17,6.98,38.97,15.88,92.89,4.89,132.56,15.96,253.4945793,244.188
2022,8,8,7.51,7.16,38.48,21.88,93.1,3.23,101.88,17.53,168.0836215,268.209
2022,8,9,7.07,6.96,38.93,18.56,93.16,5.45,35.88,16.09,283.3821546,246.177
2022,8,10,6.6,6.35,38.67,13.44,93.1,6.34,126.88,13.75,329.7216199,210.375
2022,8,11,6.48,6.32,37.76,16.06,93.22,4.97,123.38,13.59,259.5632777,207.927
2022,8,12,6.65,6.45,37.69,16.81,93.11,7.28,176.75,13.95,379.8422404,213.435
2022,8,13,6.68,6.59,37.57,14.62,93.07,7.28,151.12,14.37,379.8256923,219.861
2022,8,14,7.13,7.07,36.44,14.38,93.12,4.95,163.56,16.13,259.3425013,246.789
2022,8,15,6.99,6.94,36.3,16,93.25,3.18,191.75,15.73,166.9159838,240.669
2022,8,16,7.36,7.24,36.14,14.56,93.35,3.76,174.38,16.63,197.6736319,254.439
2022,8,17,7.13,7.09,36.42,12.88,93.23,5.39,179.19,15.98,282.7470193,244.494
2022,8,18,6.77,6.73,36.44,13.06,93.16,3.33,89.44,14.92,174.5417164,228.276
2022,8,19,7.11,7.05,36.83,10.75,93.18,4.59,121.56,16.09,240.3334223,246.177
2022,8,20,7.34,7.28,36.68,12.38,93.27,4.86,78.94,16.61,254.8397862,254.133
2022,8,21,7.31,6.71,37.16,11.75,93.25,3.91,97.44,15.86,204.6643873,242.658
2022,8,22,7.1,6.79,36.54,13.56,93.38,2.5,114.56,15.59,131.3043606,238.527
2022,8,23,7.09,6.91,35.98,15,93.5,3.14,50.44,16.04,165.429348,245.412
2022,8,24,7.06,6.97,35.05,17.12,93.63,3.04,70.31,15.98,160.8675419,244.494
2022,8,25,7.03,5.77,34.78,14.75,93.56,2.72,87.38,13.2,143.9526182,201.96
2022,8,26,6.98,6.65,34.18,15.25,93.52,2.64,77.75,15.34,139.9316394,234.702
2022,8,27,7.15,6.87,33.98,18.31,93.63,3.2,56.94,16.12,169.9241926,246.636
2022,8,28,7.28,7.12,33.35,14.75,93.68,2.91,86,16.38,154.9251215,250.614
2022,8,29,7.43,7.39,33.48,12.5,93.8,3.02,106.38,17.3,160.9190987,264.69
2022,8,30,7.36,7.33,33.54,14.38,93.83,3.46,126.25,17.05,184.3871505,260.865
2022,8,31,7.2,7.14,32.39,18.06,93.86,3.29,131.75,16.5,176.0438374,252.45
2022,9,1,7.33,7.23,33.23,18.88,93.84,3.54,131,17.05,188.8614425,260.865
2022,9,2,7.4,7.31,33.66,14.5,93.9,3.08,140.88,17.27,164.1947441,264.231
2022,9,3,7.31,7.26,34.49,12.81,93.83,3.12,124.94,16.84,165.7547416,257.652
2022,9,4,7.34,7.3,34.38,14.75,93.7,3.17,115.19,16.74,168.237892,256.122
2022,9,5,7.24,7.22,35.31,13.62,93.63,1.88,125.62,16.36,99.40001994,250.308
2022,9,6,7.26,7.24,35.37,10.81,93.5,2.37,184.25,16.87,125.109154,258.111
2022,9,7,7.19,7.16,35.12,12.56,93.58,3.19,157,16.65,168.6766296,254.745
2022,9,8,7.11,7.06,34.42,14.25,93.85,4.44,162.06,16.64,235.9857221,254.592
2022,9,9,6.91,6.88,34.79,14.62,93.89,2.91,139.81,15.84,154.5463227,242.352
2022,9,10,7,6.95,34.66,18.44,93.84,2.58,132.75,16.16,137.0053206,247.248
2022,9,11,6.98,6.93,34.68,18.12,93.75,2.97,91.06,15.86,157.5539285,242.658
2022,9,12,7.01,6.98,34.69,11.94,93.52,2.88,125.06,15.91,152.3997971,243.423
2022,9,13,7.07,7.02,34.98,11.38,93.56,2.2,153.88,16.17,116.3566913,247.401
2022,9,14,7.03,7,33.83,14.06,93.73,3.18,106.75,15.91,169.1251164,243.423
2022,9,15,7,6.98,33.2,14.69,93.85,3.19,109.69,15.98,170.2235049,244.494
2022,9,16,6.74,6.73,32.37,18.75,93.85,2.78,46.81,15.11,148.7482553,231.183
2022,9,17,6.82,6.82,31.98,16.94,93.72,2.49,90.19,15.63,133.2168533,239.139
2022,9,18,6.85,6.68,32.37,16.75,93.77,2.23,103.38,15.38,119.2179327,235.314
2022,9,19,6.9,6.9,32.32,15,93.81,3.42,92.94,15.91,182.9444043,243.423
2022,9,20,6.85,6.85,31.23,19.94,93.81,3.17,77.06,15.68,170.1785185,239.904
2022,9,21,6.56,6.24,30.8,25.56,93.75,2.71,115.94,14.37,145.5964791,219.861
2022,9,22,6.69,6.61,32.15,16.81,93.75,3.84,141.12,15.15,205.3941877,231.795
2022,9,23,6.52,6.23,32.47,13.44,93.92,2.7,105.81,14.59,144.5281787,223.227
2022,9,24,6.6,6.61,31.21,15.88,94.12,5.2,113.75,14.95,280.0980852,228.735
2022,9,25,6.55,6.41,29.66,17.56,93.97,6.38,193.25,14.4,344.8674021,220.32
2022,9,26,6.31,6.3,29.6,22.88,94.15,6.16,128.31,14,333.6793554,214.2
2022,9,27,6.7,6.71,28.83,11.56,94.21,4.91,169.69,15.03,266.8165524,229.959
2022,9,28,6.66,6.66,29.31,13.44,94.1,3.04,187.44,15.16,164.7432815,231.948
2022,9,29,6.65,6.66,29.39,14,93.92,2.6,99.12,15.36,140.5921532,235.008
2022,9,30,6.7,6.71,27.47,15.88,94.05,2.85,79.19,15.51,155.309579,237.303
2022,10,1,6.67,6.68,28.23,15.25,94.1,3.34,63.19,14.96,181.6494615,228.888
2022,10,2,6.31,6.31,29.87,15.38,93.94,2.28,140.44,13.91,123.1194203,212.823
2022,10,3,6.38,6.4,29.15,15.12,93.94,3.02,146,14.5,163.4676445,221.85
